molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"44563155",0,1,0,0,0,7,0,1,422.603,4.688,779.359,544.215,85.478,90.691,58.974,1391.975,2.000,7.500,0.0157888,0.0136094,0.7735981,45.924,13.428,22.004,11.586,3.940,-5.514,-4.360,-6.354,382.128,-0.267,407.107,-4.166,8.980,1.242,4,0.576,3,96.234,0.000,0.000,82.771,6,0,16,0,16,5,28,0,0.000
"44563155",0,1,0,0,0,7,0,1,422.603,6.063,778.057,543.607,85.290,90.219,58.941,1391.323,2.000,7.500,0.0264243,0.0136322,0.7746499,45.894,13.411,22.142,11.579,3.938,-5.492,-4.360,-6.335,383.704,-0.263,408.753,-4.164,8.955,1.194,4,0.575,3,96.250,0.000,0.000,82.742,6,0,16,0,16,5,28,0,0.000
"44563155",0,1,0,0,0,7,0,1,422.603,6.133,777.770,550.602,77.219,90.239,59.709,1386.115,2.000,7.500,0.0271362,0.0136372,0.7730013,45.685,13.319,22.033,11.523,3.963,-5.490,-4.360,-6.362,457.644,-0.175,499.329,-4.015,9.001,1.219,4,0.560,3,100.000,0.000,0.000,79.411,6,0,16,0,16,5,28,0,0.000
"25169529",0,1,0,0,0,6,0,1,394.549,7.584,735.839,472.468,99.307,94.631,69.432,1289.203,1.000,6.500,0.0446172,0.0088335,0.7785083,42.491,12.393,19.358,9.377,3.794,-5.334,-4.222,-6.293,282.534,-0.322,335.160,-4.503,9.118,1.278,4,0.565,3,93.028,0.000,0.000,84.695,6,0,16,0,16,5,26,0,0.000
"25169528",0,1,0,0,0,6,0,1,394.549,7.410,698.302,470.432,84.720,77.776,65.374,1261.843,1.000,6.500,0.0435134,0.0093083,0.8087083,41.235,11.795,18.911,9.071,3.702,-4.664,-4.222,-5.724,388.509,-0.103,449.304,-4.293,9.022,1.138,4,0.507,3,94.967,0.000,0.000,81.184,6,0,16,0,16,5,26,0,0.000
"5329921",0,1,0,0,0,6,0,1,380.522,6.136,637.186,389.075,99.422,80.743,67.947,1170.851,1.000,6.500,0.0321527,0.0102011,0.8431407,37.622,11.076,17.688,9.045,3.060,-3.606,-3.939,-5.181,281.829,-0.165,328.051,-4.554,9.021,1.293,4,0.281,3,88.710,0.000,0.000,84.008,6,0,16,0,16,5,25,0,0.003
"5329921",0,1,0,0,0,6,0,1,380.522,4.757,630.024,396.852,95.857,76.205,61.109,1173.618,1.000,6.500,0.0192854,0.0103171,0.8540679,37.689,11.008,17.517,8.971,3.076,-3.453,-3.939,-4.983,304.639,-0.126,327.356,-4.504,9.173,1.283,4,0.294,3,89.411,0.000,0.000,86.306,6,0,16,0,16,5,25,0,0.004
"3025986",0,1,0,0,0,6,0,1,380.522,4.419,682.381,436.713,107.850,69.296,68.521,1215.060,2.000,7.500,0.0160713,0.0155435,0.8069936,39.282,11.709,19.939,11.583,2.728,-4.074,-3.534,-5.712,234.455,-0.336,270.831,-4.750,9.046,1.212,4,0.189,3,85.341,0.000,0.000,86.250,6,0,16,0,16,5,25,0,0.001
"24779712",0,0,0,0,1,7,1,-2,338.405,7.727,629.757,206.436,154.464,268.857,0.000,1117.091,2.000,7.200,0.0534495,0.0161687,0.8267698,36.625,12.021,19.591,15.020,1.814,-2.968,-3.435,-4.243,186.149,-1.365,154.008,-2.747,8.727,0.763,4,-0.352,3,78.194,0.000,32.821,93.562,5,0,16,0,16,2,25,0,0.652
"11381744",0,0,0,0,1,7,1,-2,324.379,7.139,617.702,178.929,160.556,278.216,0.000,1078.548,2.000,7.200,0.0472550,0.0164842,0.8234033,35.172,11.756,19.019,15.098,1.546,-2.771,-3.174,-4.342,162.893,-1.437,133.383,-2.826,8.529,0.560,4,-0.450,3,75.584,0.000,32.844,93.792,5,0,15,0,15,1,24,0,0.820
"11381744",0,0,0,0,1,7,1,0,324.379,9.863,522.831,158.535,94.550,269.746,0.000,989.415,2.000,7.200,0.0983126,0.0194754,0.9184518,31.524,10.729,18.379,14.463,1.544,-1.227,-3.174,-2.764,671.454,-0.606,633.382,-1.640,8.874,0.907,3,-0.579,3,86.582,0.000,34.205,83.185,5,0,15,0,15,1,24,0,441.089
