molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"5905",0,0,0,0,0,3,0,-2,354.101,5.365,437.272,126.295,208.117,20.354,82.506,741.600,3.000,8.600,0.0388062,0.0340649,0.9061354,21.793,8.160,16.959,14.557,-0.545,-2.072,-3.418,-3.148,105.275,-1.105,122.905,-4.995,9.007,1.380,3,-0.734,2,59.949,0.000,0.000,124.170,7,0,11,0,11,4,17,0,0.030
"25148306",1,0,0,0,0,7,0,1,368.308,4.482,685.138,402.900,38.009,114.302,129.927,1193.002,2.000,4.000,0.0168405,0.0082565,0.7939893,38.187,11.776,17.613,7.775,5.263,-6.555,-5.723,-5.411,4319.790,0.059,10000.000,-1.145,8.609,0.568,1,0.703,1,100.000,0.000,0.000,51.253,5,1,12,0,12,0,24,1,0.007
"23731287",0,0,0,0,0,5,2,-2,412.275,11.539,709.194,326.916,160.637,97.586,124.055,1245.432,1.000,8.000,0.1069153,0.0112804,0.7893689,41.410,12.772,21.295,11.467,3.201,-5.920,-5.047,-5.406,296.879,-1.152,636.568,-3.656,9.335,1.474,1,0.186,3,89.940,0.000,0.000,130.763,8,0,11,0,11,0,27,1,0.000
"23731286",1,0,0,0,0,6,2,-2,440.328,13.471,728.292,370.777,150.001,91.388,116.126,1328.660,1.000,8.000,0.1365784,0.0109846,0.8025436,44.039,13.347,22.572,11.175,3.767,-6.055,-5.613,-5.163,374.490,-1.066,740.339,-3.386,9.364,1.403,1,0.372,3,95.059,0.000,0.000,125.777,8,0,11,0,11,0,29,1,0.000
"23731284",1,0,0,0,0,4,2,-1,412.275,13.868,703.652,324.272,153.697,95.859,129.824,1240.605,1.000,8.000,0.1550153,0.0113692,0.7935285,41.842,12.694,22.148,11.618,3.241,-6.012,-5.047,-5.330,345.456,-0.986,806.463,-3.630,9.312,1.460,1,0.218,3,91.355,0.000,0.000,128.753,8,0,11,0,11,0,27,1,0.000
"23731283",1,0,0,0,0,5,2,-1,426.302,10.660,690.286,324.729,126.678,108.971,129.909,1258.006,1.000,8.000,0.0903254,0.0115894,0.8164402,42.022,12.717,21.282,11.270,3.567,-5.618,-5.329,-5.022,623.185,-0.686,1527.559,-2.990,9.210,1.367,0,0.236,3,100.000,0.000,0.000,125.413,8,0,11,0,11,0,28,0,0.001
"23731282",0,0,0,0,0,7,2,-1,440.328,11.002,751.077,395.190,117.190,108.785,129.912,1353.150,1.000,8.000,0.0894590,0.0106514,0.7877310,44.543,13.617,21.942,10.910,4.212,-6.351,-5.613,-5.486,766.630,-0.799,1910.985,-2.624,9.227,1.351,1,0.386,1,100.000,0.000,0.000,123.553,8,0,11,0,11,0,29,1,0.000
"24777274",0,0,0,0,0,8,0,-2,581.651,2.970,787.950,244.882,167.991,375.077,0.000,1579.348,0.000,13.500,0.0055862,0.0000000,0.8323737,55.497,16.542,26.453,16.842,2.301,-3.778,-7.892,-6.033,252.835,-1.535,111.915,-2.526,8.858,0.764,4,-0.748,2,57.507,0.000,0.000,130.325,12,2,31,0,31,2,42,0,0.289
"24777274",0,0,0,0,0,8,0,-2,581.651,12.048,829.552,184.647,198.035,446.870,0.000,1630.689,0.000,13.500,0.0890204,0.0000000,0.8076727,58.237,17.821,28.726,17.635,2.512,-4.566,-7.892,-6.775,131.199,-1.943,55.073,-2.827,9.329,0.927,4,-0.599,2,53.643,0.000,0.000,135.385,12,2,31,0,31,2,42,0,0.024
"24777274",0,0,0,0,0,8,0,-2,581.651,2.778,786.280,248.218,170.569,367.493,0.000,1579.174,0.000,13.500,0.0048869,0.0000000,0.8340805,55.417,16.499,26.424,16.804,2.273,-3.746,-7.892,-5.969,239.000,-1.553,105.311,-2.600,8.887,0.750,4,-0.749,2,56.906,0.000,0.000,131.159,12,2,31,0,31,2,42,0,0.262
